新聞日前一工作日,,後推四日工作日,
2019/4/8,253,2019/4/12,252
2019/4/5,246.5,2019/4/10,254
2019/4/5,246.5,2019/4/10,253
2019/4/5,246.5,2019/4/10,253
2019/4/4,246.5,2019/4/9,254
2019/4/3,246.5,2019/4/8,253
2019/4/2,246,2019/4/8,253
2019/4/1,245.5,2019/4/8,253
2019/3/29,245.5,2019/4/3,246.5
2019/3/29,245.5,2019/4/3,246.5
2019/3/28,242,2019/4/2,246
2019/3/25,241.5,2019/4/1,245.5
2019/3/22,248.5,2019/3/27,241.5
2019/3/21,245.5,2019/3/26,244
2019/3/20,242,2019/3/25,241.5
2019/3/14,234.5,2019/3/19,240.5
2019/3/13,237,2019/3/18,241
2019/3/11,230.5,2019/3/15,239
2019/3/7,234,2019/3/12,235.5
2019/3/6,234,2019/3/11,230.5
2019/3/1,239,2019/3/6,234
2019/2/22,236.5,2019/2/27,239
2019/2/22,236.5,2019/2/27,239
2019/2/21,236.5,2019/2/26,239.5
2019/2/20,234.5,2019/2/25,238
2019/2/19,229,2019/2/25,238
2019/2/18,230,2019/2/25,238
2019/2/15,227,2019/2/20,234.5
2019/2/15,227,2019/2/20,234.5
2019/2/14,227,2019/2/19,229
2019/1/28,229,2019/2/11,228
2019/1/25,226,2019/1/30,221
2019/1/23,220.5,2019/1/28,229
2019/1/22,223,2019/1/28,229
2019/1/18,218.5,2019/1/23,220.5
2019/1/17,220.5,2019/1/22,223
2019/1/16,217.5,2019/1/21,221
2019/1/15,221,2019/1/21,221
2019/1/11,220.5,2019/1/16,217.5
2019/1/11,220.5,2019/1/16,217.5
2019/1/9,215.5,2019/1/14,218.5
2019/1/3,215.5,2019/1/8,211
2018/12/21,223.5,2018/12/26,216.5
2018/12/19,225.5,2018/12/24,220
2018/12/18,222.5,2018/12/24,220
2018/12/17,223.5,2018/12/22,221.5
2018/12/13,226,2018/12/18,222.5
2018/12/12,226.5,2018/12/17,223.5
2018/12/11,222.5,2018/12/17,223.5
2018/12/10,219,2018/12/14,222.5
2018/12/5,226,2018/12/10,219
2018/12/4,234,2018/12/10,219
2018/12/3,235,2018/12/7,221
2018/11/30,225.5,2018/12/5,226
2018/11/28,226.5,2018/12/3,235
2018/11/22,219,2018/11/27,224
2018/11/20,218,2018/11/26,223
2018/11/19,222,2018/11/23,218.5
2018/11/13,227.5,2018/11/19,222
2018/11/7,234,2018/11/12,231.5
2018/10/31,234,2018/11/5,235
2018/10/29,222.5,2018/11/2,236.5
2018/10/19,236,2018/10/24,229.5
2018/10/19,236,2018/10/24,229.5
2018/10/19,236,2018/10/24,229.5
2018/10/18,236.5,2018/10/23,230
2018/10/17,238.5,2018/10/22,237
2018/10/16,237,2018/10/22,237
2018/10/15,230.5,2018/10/19,236
2018/10/12,237,2018/10/17,238.5
2018/10/9,244,2018/10/15,230.5
2018/10/5,250,2018/10/9,244
2018/10/3,260,2018/10/8,243.5
2018/10/2,257.5,2018/10/8,243.5
2018/9/28,262.5,2018/10/3,260
2018/9/28,262.5,2018/10/3,260
2018/9/27,265,2018/10/2,257.5
2018/9/26,263.5,2018/10/1,263
2018/9/19,258,2018/9/25,263.5
2018/9/14,261,2018/9/19,258
2018/9/13,255.5,2018/9/18,254.5
2018/9/11,260,2018/9/17,258
2018/9/7,264,2018/9/12,260.5
2018/9/6,261,2018/9/11,260
2018/8/31,256,2018/9/5,264
2018/8/30,263.5,2018/9/4,257.5
2018/8/29,259,2018/9/3,257
2018/8/28,249.5,2018/9/3,257
2018/8/15,241.5,2018/8/20,239.5
2018/8/3,247,2018/8/8,247.5
2018/7/20,237.5,2018/8/6,245.5
2018/7/19,224.5,2018/7/24,241
2018/7/18,223,2018/7/23,241
2018/7/10,222,2018/7/16,223.5
2018/7/4,216,2018/7/9,221.5
2018/6/27,213,2018/7/2,214
2018/6/25,218,2018/6/29,216.5
2018/6/21,218.54,2018/6/26,214.5
2018/6/19,217.09,2018/6/25,218
2018/6/14,218.54,2018/6/19,217.09
2018/6/13,223.84,2018/6/19,217.09
2018/6/8,219.02,2018/6/13,223.84
2018/6/4,220.95,2018/6/8,219.02
2018/5/31,216.12,2018/6/5,220.95
2018/5/18,215.64,2018/5/23,220.46
2018/5/16,222.39,2018/5/21,220.95
2018/5/9,221.43,2018/5/14,224.81
2018/4/27,215.64,2018/5/2,215.16
2018/4/26,214.19,2018/5/2,215.16
2018/4/20,220.95,2018/4/25,217.57
2018/4/19,235.9,2018/4/24,217.09
2018/4/18,229.63,2018/4/23,218.54
2018/3/29,235.42,2018/4/3,234.45
2018/3/28,236.38,2018/4/3,234.45
2018/3/26,234.94,2018/4/2,237.83
2018/3/16,246.03,2018/3/21,243.62
2018/3/15,246.03,2018/3/20,244.1
2018/3/8,240.73,2018/3/13,249.89
2018/2/13,228.18,2018/2/21,233.97
2018/2/8,230.11,2018/2/12,228.18
2018/1/22,252.3,2018/1/26,246.03
2018/1/19,246.52,2018/1/24,248.93
2018/1/17,233.49,2018/1/22,252.3
2018/1/16,232.04,2018/1/22,252.3
2018/1/12,228.67,2018/1/17,233.49
2017/12/27,217.09,2018/1/2,224.32
2017/12/22,219.5,2017/12/27,217.09
2017/12/21,217.09,2017/12/26,218.05
2017/12/18,219.02,2017/12/22,219.5
2017/12/8,219.02,2017/12/13,219.02
2017/12/7,218.54,2017/12/12,219.5
2017/11/29,226.25,2017/12/4,225.77
2017/11/24,235.42,2017/11/29,226.25
2017/11/16,229.63,2017/11/21,234.45
2017/11/14,231.56,2017/11/20,230.11
2017/10/20,229.15,2017/10/25,229.63
2017/10/11,224.81,2017/10/16,229.63
2017/10/10,216.61,2017/10/16,229.63
2017/10/5,216.61,2017/10/11,224.81
2017/10/3,214.68,2017/10/6,216.61
2017/10/2,212.75,2017/10/6,216.61
2017/9/29,208.89,2017/10/5,216.61
2017/9/28,206.47,2017/10/3,214.68
2017/9/22,210.82,2017/9/27,207.44
2017/9/21,213.23,2017/9/26,206.47
2017/9/6,209.37,2017/9/11,209.37
2017/9/5,210.33,2017/9/11,209.37
2017/8/17,206.47,2017/8/22,206.96
2017/8/11,205.03,2017/8/16,205.51
2017/8/7,208.4,2017/8/11,205.03
2017/7/27,207.92,2017/8/2,208.4
2017/7/10,198.76,2017/7/17,205.51
2017/7/3,201.65,2017/7/7,198.76
2017/6/30,201.17,2017/7/5,201.17
2017/6/28,201.17,2017/7/3,201.65
2017/6/23,202.62,2017/6/28,201.17
2017/6/23,202.62,2017/6/28,201.17
2017/6/8,198.88,2017/6/13,194.21
2017/6/7,197.48,2017/6/12,193.75
2017/5/25,193.28,2017/5/31,189.54
2017/5/23,191.41,2017/5/31,189.54
2017/5/11,193.75,2017/5/16,190.94
2017/5/9,190.01,2017/5/15,192.34
2017/5/8,189.08,2017/5/12,192.34
2017/5/3,184.87,2017/5/8,189.08
2017/5/1,183.47,2017/5/5,184.41
2017/4/13,178.81,2017/4/18,175.54
2017/4/12,178.34,2017/4/17,175.07
2017/4/7,178.34,2017/4/12,178.34
2017/3/21,182.07,2017/3/27,180.21
2017/3/20,178.81,2017/3/24,179.74
2017/2/23,176,2017/3/1,173.67
2017/2/9,171.8,2017/2/14,175.07
2017/2/6,172.27,2017/2/10,173.2
2017/2/1,173.2,2017/2/6,172.27
2017/1/12,172.27,2017/1/17,169
2017/1/3,170.87,2017/1/9,171.8
2016/12/27,168.07,2017/1/3,170.87
2016/12/9,173.67,2016/12/14,175.07
2016/12/6,169.94,2016/12/12,172.74
